167 施公案 8285 第一六七回 　　施賢臣賣卜訪案　白朱氏問卦尋夫
168 施公案 8286 第一六八回 　　消災孽朱氏求神　訪情由天霸裝鬼
169 施公案 8287 第一六九回 　　探消息施公淨宅　辦差使吳徐領簽
170 施公案 8288 第一七○回 　　公差訪拿賀重　五兇犯巧遇琉璃河
171 施公案 8289 第一七一回 　　馬快頭奉差違命　朱節婦訴狀陳情
172 施公案 8290 第一七二回 　　賀囚徒畫供結案　朱節婦旌表流芳
173 施公案 8291 第一七三回 　　施巡按回朝繳旨　暢春園見駕訴功
174 施公案 8292 第一七四回 　　旨宣黃天霸面君　敕賜安樂亭演武
175 施公案 8293 第一七五回 　　復宣黃天霸見駕　欽派施仕倫擎杯
176 施公案 8294 第一七六回 　　達木蘇王抗旨比武　康熙佛爺怪罪含嗔
177 施公案 8295 第一七七回 　　老佛爺降旨封官　施總漕擇吉赴任
178 施公案 8296 第一七八回 　　施總漕八里橋打尖　何路通十字街比武
179 施公案 8297 第一七九回 　　計神眼巧逢故友　魚鷹子扶保賢臣
180 施公案 8298 第一八○回 　　賢臣私訪裡江　寺主僕偶住杏花村
181 施公案 8299 第一八一回 　　施賢臣假扮香客　眾綠林群爭店房
182 施公案 8300 第一八二回 　　眾綠林店內暢飲　施大人復遇賓朋
183 施公案 8301 第一八三回 　　兩岸仰贍施按院　浮橋怒打運糧官
184 施公案 8302 第一八四回 　　李公然船頭重義　何路通水底輕敵
185 施公案 8303 第一八五回 　　赴淮安初經水路　到靜海又接民詞
186 施公案 8304 第一八六回 　　寵美妾樂極生悲　送義僕絕情處死
187 施公案 8305 第一八七回 　　縣主徇情主僕疑忌　總漕折獄生死冤明
188 施公案 8306 第一八八回 　　怕刺客神眼留心　疑計全欽差遇險
189 施公案 8307 第一八九回 　　代友報仇吳成行刺　為平冤獄賢臣遇險
190 施公案 8308 第一九○回 　　計全忠心遭毒器　李昆為友盜靈丹
191 施公案 8309 第一九一回 　　神彈子無心結怨　方世杰有意報仇
192 施公案 8310 第一九二回 　　方家堡李昆中藥箭　大樹林世杰遇三英
