084 歷史通俗演義-南北史 4942 第八十四回 　　設行省遣子督師　避敵兵攜妃投井
085 歷史通俗演義-南北史 4943 第八十五回 　　據湘州陳宗殉國　撫嶺表冼氏平蠻
086 歷史通俗演義-南北史 4944 第八十六回 　　反罪為功築宮邀賞　寓剿於撫徙虜實邊
087 歷史通俗演義-南北史 4945 第八十七回 　　恨妒后御駕入山鄉　謀奪嫡計臣賂朝貴
088 歷史通俗演義-南北史 4946 第八十八回 　　太子勇遭讒被廢　庶人秀幽錮蒙冤
089 歷史通俗演義-南北史 4947 第八十九回 　　侍病父密謀行逆　烝庶母強結同心
090 歷史通俗演義-南北史 4948 第九十回 　　攻並州分遣兵戎　幸洛陽大興土木
091 歷史通俗演義-南北史 4949 第九十一回 　　促蛾眉宣華歸地府　駕龍舟煬帝赴江都
092 歷史通俗演義-南北史 4950 第九十二回 　　巡塞北厚撫啟民汗　幸河西窮討吐谷渾
093 歷史通俗演義-南北史 4951 第九十三回 　　端門街陳戲示番夷　觀瀾亭獻詩逢鬼魅
094 歷史通俗演義-南北史 4952 第九十四回 　　征高麗勞兵動眾　溃薩水折將喪師
095 歷史通俗演義-南北史 4953 第九十五回 　　楊玄感兵敗死窮途　斛斯政拘回遭慘戮
096 歷史通俗演義-南北史 4954 第九十六回 　　犯乘輿圍攻紫寨　造迷樓望斷紅顏
097 歷史通俗演義-南北史 4955 第九十七回 　　御苑賞花巧演古劇　隋堤種柳快意南游
098 歷史通俗演義-南北史 4956 第九十八回 　　麻叔謀罪發受金刀　李玄邃謀成建帥府
099 歷史通俗演義-南北史 4957 第九十九回 　　迫起兵李氏入關中　囑獻書矮奴死闕下
100 歷史通俗演義-南北史 4958 第一○○回 　　弒昏君隋家數盡　鴆少主楊氏凶終
