001 五虎征西 4203 第一回 　　賑民饑包公奉旨　圖謀害龐相施計
073 五虎征西 4275 第七十三回 　　救三關五虎興師　言譏誚兵部忿氣
074 五虎征西 4276 第七十四回 　　破大敵宋遼對壘　立功勞石玉交鋒
075 五虎征西 4277 第七十五回 　　張將軍出敵斬遼將　焦豪傑山林救英雄
076 五虎征西 4278 第七十六回 　　遇英雄張忠勸仕　逢勇漢元帥收留
077 五虎征西 4279 第七十七回 　　破遼營狄元帥奏功　敗番將新羅國添兵
078 五虎征西 4280 第七十八回 　　薦勇將遼主復兵　代新羅宋軍大戰
079 五虎征西 4281 第七十九回 　　遼將軍逞勇被擒　狄元帥沙場破敵
080 五虎征西 4282 第八十回 　　番將迷魂陣困英雄　宋帥開陽鏡破妖法
081 五虎征西 4283 第八十一回 　　劫宋營烏山羅中計　敗回國麻麻罕捐軀
082 五虎征西 4284 第八十二回 　　聞兵敗新羅國議降　允投順狄元帥班師
083 五虎征西 4285 第八十三回 　　奉帥令孟將軍報捷　伐西遼扒山虎破關
084 五虎征西 4286 第八十四回 　　懼大宋遼王逢野道　議破敵老祖領兵符
085 五虎征西 4287 第八十五回 　　施法寶花山逞能　遇妖術虎將被陷
086 五虎征西 4288 第八十六回 　　鬼谷師靈丹救將　花山祖賽法沙場
087 五虎征西 4289 第八十七回 　　鬥法術花山逞能　收野道王禪借寶
088 五虎征西 4290 第八十八回 　　勸番君仙母善點化　離單單公主再西行
089 五虎征西 4291 第八十九回 　　鎮妖球雲內收蛇怪　飛山虎私夜劫遼營
090 五虎征西 4292 第九十回 　　收野道夫妻重敘會　遵師命鸞鳳再分離
091 五虎征西 4293 第九十一回 　　西遼臣懇切求和　秋元帥仁慈允降
092 五虎征西 4294 第九十二回 　　遼王貢獻珍珠旗　宋將驗明傳國寶
093 五虎征西 4295 第九十三回 　　五虎將平西還國　狄元帥奏凱班師
094 五虎征西 4296 第九十四回 　　成大功歸家見母　復聖旨當殿參君
095 五虎征西 4297 第九十五回 　　當金殿試驗真旗　達朝廷鳴攻國賊
096 五虎征西 4298 第九十六回 　　搜相府貪賊敗露　證國賊瓜葛相連
097 五虎征西 4299 第九十七回 　　嘉祐皇違法私親　平西王榮封賜爵
098 五虎征西 4300 第九十八回 　　孫兵部回朝到案　包龍圖勘斷群奸
099 五虎征西 4301 第九十九回 　　定奸罪包公上本　溺龐妃宋王生嗔
100 五虎征西 4302 第一○○回 　　狄太后掃除君側　龐貴妃絞死宮中
101 五虎征西 4303 第一○一回 　　正典刑奸臣被誅　憶妃子宋主傷情
102 五虎征西 4304 第一○二回 　　遵國法龐孫回籍　敘奸苗作惡多端
103 五虎征西 4305 第一○三回 　　蕭天鳳領守三關　張將軍洞房花燭
104 五虎征西 4306 第一○四回 　　蘇都督入贅納英雄　安樂王奉宣朝太后
105 五虎征西 4307 第一○五回 　　遵宣詔公主到中原　大敘會狄府排筵宴
106 五虎征西 4308 第一○六回 　　平西府骨肉談心　狄王爺達呈貢禮
107 五虎征西 4309 第一○七回 　　八寶女朝參天子　李太后主結姻緣
108 五虎征西 4310 第一○八回 　　平西王請旨榮歸　佘太君宴邀狄眷
109 五虎征西 4311 第一○九回 　　狄太后姑嫂還鄉　安樂王閒中作斷
110 五虎征西 4312 第一一○回 　　修狄墳張文料理　送榮歸兄弟同心
111 五虎征西 4313 第一一一回 　　到家鄉狄爺拜探　復聖旨包拯回朝
112 五虎征西 4314 第一一二回 　　完祭祖太后回駕　大團圓五將榮歸
