001 水滸全傳 873 第一回 　　張天師祈禳瘟疫　洪太尉誤走妖魔
028 水滸全傳 900 第二十八回 　　武松威鎮安平寨　施恩義奪快活林
029 水滸全傳 901 第二十九回 　　施恩重霸孟州道　武松醉打蔣門神
030 水滸全傳 902 第三十回 　　施恩三入死囚牢　武松大鬧飛雲浦
031 水滸全傳 903 第三十一回 　　張都監血濺鴛鴦樓　武行者夜走蜈蚣嶺
032 水滸全傳 904 第三十二回 　　武行者醉打孔亮　錦毛虎義釋宋江
033 水滸全傳 905 第三十三回 　　宋江夜看小鰲山　花榮大鬧清風寨
034 水滸全傳 906 第三十四回 　　鎮三山大鬧青州道　霹靂火夜走瓦礫場
035 水滸全傳 907 第三十五回 　　石將軍村店寄書　小李廣梁山射雁
036 水滸全傳 908 第三十六回 　　梁山泊吳用舉戴宗　揭陽嶺宋江逢李俊
037 水滸全傳 909 第三十七回 　　沒遮攔追趕及時雨　船火兒大鬧潯陽江
038 水滸全傳 910 第三十八回 　　及時雨會神行太保　黑旋風鬥浪裏白條
039 水滸全傳 911 第三十九回 　　潯陽樓宋江吟反詩　梁山泊戴宗傳假信
040 水滸全傳 912 第四十回 　　梁山泊好漢劫法場　白龍廟英雄小聚義
041 水滸全傳 913 第四十一回 　　宋江智取無為軍　張順活捉黃文炳
042 水滸全傳 914 第四十二回 　　還道村受三卷天書　宋公明遇九天玄女
043 水滸全傳 915 第四十三回 　　假李逵剪徑劫單人　黑旋風沂嶺殺四虎
044 水滸全傳 916 第四十四回 　　錦豹子小徑逢戴宗　病關索長街遇石秀
045 水滸全傳 917 第四十五回 　　楊雄醉罵潘巧雲　石秀智殺裴如海
046 水滸全傳 918 第四十六回 　　病關索大鬧翠屏山　拚命三火燒祝家店
047 水滸全傳 919 第四十七回 　　撲天鵰兩修生死書　宋公明一打祝家莊
048 水滸全傳 920 第四十八回 　　一丈青單捉王矮虎　宋公明兩打祝家莊
049 水滸全傳 921 第四十九回 　　解珍解寶雙越獄　孫立孫新大劫牢
050 水滸全傳 922 第五十回 　　吳學究雙掌連環計　宋公明三打祝家莊
051 水滸全傳 923 第五十一回 　　插翅虎枷打白秀英　美髯公誤失小衙內
052 水滸全傳 924 第五十二回 　　李逵打死殷天錫　柴進失陷高唐州
053 水滸全傳 925 第五十三回 　　戴宗智取公孫勝　李逵斧劈羅真人
054 水滸全傳 926 第五十四回 　　入雲龍鬥法破高廉　黑旋風探穴救柴進
055 水滸全傳 927 第五十五回 　　高太尉大興三路兵　呼延灼擺布連環馬
056 水滸全傳 928 第五十六回 　　吳用使時遷盜甲　湯隆賺徐寧上山
057 水滸全傳 929 第五十七回 　　徐寧教使鉤鐮鎗　宋江大破連環馬
058 水滸全傳 930 第五十八回 　　三山聚義打青州　眾虎同心歸水泊
059 水滸全傳 931 第五十九回 　　吳用賺金鈴弔掛　宋江鬧西嶽華山
060 水滸全傳 932 第六十回 　　公孫勝芒碭山降魔　晁天王曾頭市中箭
061 水滸全傳 933 第六十一回 　　吳用智賺玉麒麟　張順夜鬧金沙渡
062 水滸全傳 934 第六十二回 　　放冷箭燕青救主　劫法場石秀跳樓
063 水滸全傳 935 第六十三回 　　宋江兵打北京城　關勝議取梁山泊
064 水滸全傳 936 第六十四回 　　呼延灼月夜賺關勝　宋公明雪天擒索超
065 水滸全傳 937 第六十五回 　　托塔天王夢中顯聖　浪裏白條水上報冤
066 水滸全傳 938 第六十六回 　　時遷火燒翠雲樓　吳用智取大名府
067 水滸全傳 939 第六十七回 　　宋江賞馬步三軍　關勝降水火二將
068 水滸全傳 940 第六十八回 　　宋公明夜打曾頭市　盧俊義活捉史文恭
069 水滸全傳 941 第六十九回 　　東平府誤陷九紋龍　宋公明義釋雙鎗將
070 水滸全傳 942 第七十回 　　沒羽箭飛石打英雄　宋公明棄糧擒壯士
071 水滸全傳 943 第七十一回 　　忠義堂石碣受天文　梁山泊英雄排座次
072 水滸全傳 944 第七十二回 　　柴進簪花入禁院　李逵元夜鬧東京
073 水滸全傳 945 第七十三回 　　黑旋風喬捉鬼　梁山泊雙獻頭
074 水滸全傳 946 第七十四回 　　燕青智撲擎天柱　李逵壽張喬坐衙
075 水滸全傳 947 第七十五回 　　活閻羅倒船偷御酒　黑旋風扯詔罵欽差
076 水滸全傳 948 第七十六回 　　吳加亮布四斗五方旗　宋公明排九宮八卦陣
077 水滸全傳 949 第七十七回 　　梁山泊十面埋伏　宋公明兩贏童貫
078 水滸全傳 950 第七十八回 　　十節度議取梁山泊　宋公明一敗高太尉
079 水滸全傳 951 第七十九回 　　劉唐放火燒戰船　宋江兩敗高太尉
080 水滸全傳 952 第八十回 　　張順鑿漏海鰍船　宋江三敗高太尉
081 水滸全傳 953 第八十一回 　　燕青月夜遇道君　戴宗定計出樂和
082 水滸全傳 954 第八十二回 　　梁山泊分金大買市　宋公明全夥受招安
083 水滸全傳 955 第八十三回 　　宋公明奉詔破大遼　陳橋驛滴淚斬小卒
084 水滸全傳 956 第八十四回 　　宋公明兵打薊州城　盧俊義大戰玉田縣
085 水滸全傳 957 第八十五回 　　宋公明夜度益津關　吳學究智取文安縣
086 水滸全傳 958 第八十六回 　　宋公明大戰獨鹿山　盧俊義兵陷青石峪
087 水滸全傳 959 第八十七回 　　宋公明大戰幽州　呼延灼力擒番將
088 水滸全傳 960 第八十八回 　　顏統軍陣列混天象　宋公明夢授玄女法
089 水滸全傳 961 第八十九回 　　宋公明破陣成功　宿太尉頒恩降詔
090 水滸全傳 962 第九十回 　　五臺山宋江參禪　雙林鎮燕青遇故
091 水滸全傳 963 第九十一回 　　宋公明兵渡黃河　盧俊義賺城黑夜
092 水滸全傳 964 第九十二回 　　振軍威小李廣神箭　打蓋郡智多星密籌
093 水滸全傳 965 第九十三回 　　李逵夢鬧天池　宋江兵分兩路
094 水滸全傳 966 第九十四回 　　關勝義降三將　李逵莽陷眾人
095 水滸全傳 967 第九十五回 　　宋公明忠感后土　喬道清術敗宋兵
096 水滸全傳 968 第九十六回 　　幻魔君術窘五龍山　入雲龍頭圍百谷嶺
097 水滸全傳 969 第九十七回 　　陳瓘諫官陞安撫　瓊英處女做先鋒
098 水滸全傳 970 第九十八回 　　張清緣配瓊英　吳用計鴆鄔梨
099 水滸全傳 971 第九十九回 　　花和尚解脫緣纏井　混江龍水灌太原城
100 水滸全傳 972 第一百回 　　張清瓊英雙建功　陳瓘宋江同奏捷
101 水滸全傳 973 第一百一回 　　謀墳地陰險產逆　蹈春陽妖艷生奸
102 水滸全傳 974 第一百二回 　　王慶因姦喫官司　龔端被打師軍犯
103 水滸全傳 975 第一百三回 　　張管營因妾弟喪身　范節級為表兄醫臉
104 水滸全傳 976 第一百四回 　　段家莊重招新女婿　房山寨雙併舊強人
105 水滸全傳 977 第一百五回 　　宋公明避暑療軍兵　喬道清回風燒賊寇
106 水滸全傳 978 第一百六回 　　書生談笑卻強敵　水軍汨沒破堅城
107 水滸全傳 979 第一百七回 　　宋江大勝紀山軍　朱武打破六花陣
108 水滸全傳 980 第一百八回 　　喬道清興霧取城　小旋風藏炮擊賊
109 水滸全傳 981 第一百九回 　　王慶渡江被捉　宋江剿寇成功
110 水滸全傳 982 第一百十回 　　燕青秋林渡射雁　宋江東京城獻俘
111 水滸全傳 983 第一百十一回 　　張順夜伏金山寺　宋江智取潤州城
112 水滸全傳 984 第一百十二回 　　盧俊義分兵宣州道　宋公明大戰毘陵郡
113 水滸全傳 985 第一百十三回 　　混江龍太湖小結義　宋公明蘇州大會垓
114 水滸全傳 986 第一百十四回 　　寧海軍宋江弔孝　涌金門張順歸神
115 水滸全傳 987 第一百十五回 　　張順魂捉方天定　宋江智取寧海軍
116 水滸全傳 988 第一百十六回 　　盧俊義分兵歙州道　宋公明大戰烏龍嶺
117 水滸全傳 989 第一百十七回 　　睦州城箭射鄧元覺　烏龍嶺神助宋公明
118 水滸全傳 990 第一百十八回 　　盧俊義大戰昱嶺關　宋公明智取清溪洞
119 水滸全傳 991 第一百十九回 　　魯智深浙江坐化　宋公明衣錦還鄉
120 水滸全傳 992 第一百二十回 　　宋公明神聚蓼兒洼　徽宗帝夢游梁山泊
