103 野叟曝言 23375 第一百零三回 　　兩日毀十門龍燔於峒　一夜破兩城濬泣於涂
104 野叟曝言 23376 第一百零四回 　　假班師分兵入峽　真救駕匹馬歸朝
105 野叟曝言 23377 第一百零五回 　　鸞音為臣子監軍新時官制　雲妃代尼僧摩頂舊日恩情
106 野叟曝言 23378 第一百零六回 　　玉洞生春小郎試藥　天羅窣暗太子驚心
107 野叟曝言 23379 第一百零七回 　　水火無情久出炎涼之界　蛆蟲可厭不污清白之躬
108 野叟曝言 23380 第一百零八回 　　文白大名驅惡鬼　七妃小戲惹冤魂
109 野叟曝言 23381 第一百零九回 　　怨鬼捉奸逆藩伏法　青宮驗痣假子歸真
110 野叟曝言 23382 第一百十回 　　真報仇指頭齧血　假作惡鼻孔鋪紅
111 野叟曝言 23383 第一百十一回 　　三萬雄兵不敵耰鋤荊棘　五千長線可推角股勾弦
112 野叟曝言 23384 第一百十二回 　　五日長號生者幾幾欲死　六人同夢死者奕奕如生
113 野叟曝言 23385 第一百十三回 　　忽顯靈文素臣真符假夢　怕上天熊飛娘死抱生人
114 野叟曝言 23386 第一百十四回 　　滄海玉堂雙珠歸母　白衣閣老隻手擎天
115 野叟曝言 23387 第一百十五回 　　擒閹賊聖駕還朝　賜宮奴相臣歸第
116 野叟曝言 23388 第一百十六回 　　錯裡錯安貴妃五更拼命　疑上疑文丞相一旦驕人
117 野叟曝言 23389 第一百十七回 　　拷貴妃乾清三擋　擒居次韃靼雙降
118 野叟曝言 23390 第一百十八回 　　陌路種成荊樹喜連今日之枝　深宮賜出夭桃誰識當年之木
119 野叟曝言 23391 第一百十九回 　　滅浙平倭歸一統　論功行賞失雙勞
120 野叟曝言 23392 第一百二十回 　　執傘蓋鐵面甘心　宴府第金蟬脫殼
121 野叟曝言 23393 第一百二十一回 　　五子說策請五湖　六女按名歸六院
122 野叟曝言 23394 第一百二十二回 　　姊妹重逢驚智囊之遠慮　主奴敘舊感鎮國之深恩
123 野叟曝言 23395 第一百二十三回 　　兩抄落卷小狀元再占鼇頭　一語驚天大駙馬獨蟠龍腹
124 野叟曝言 23396 第一百二十四回 　　癡丫鬟辭婚投水　聖天子減膳求言
125 野叟曝言 23397 第一百二十五回 　　素臣無外兩釋疑城　紅豆天淵雙生貴子
126 野叟曝言 23398 第一百二十六回 　　五星聚井五星聚奎　三索得男三索得女
127 野叟曝言 23399 第一百二十七回 　　未鸞吹辭夫就婿　文按院借賊驚人
128 野叟曝言 23400 第一百二十八回 　　九歲孩童呈絕技　八齡女子害相思
129 野叟曝言 23401 第一百二十九回 　　安富陳榮謀按院　善財龍女戲觀音
130 野叟曝言 23402 第一百三十回 　　獨桌待孫行激勸　一心憂旱起迍邅
131 野叟曝言 23403 第一百三十一回 　　八片香肱脾神大醒　三尺瑞雪心結齊開
132 野叟曝言 23404 第一百三十二回 　　素父忽逃羅剎國　麟兒獨上狀元台
133 野叟曝言 23405 第一百三十三回 　　奚天使死成歡喜佛　木倭奴生作淨光王
134 野叟曝言 23406 第一百三十四回 　　泰運將開囊括扶桑日本　疑胎乍脫血凝鐵丐銀兒
135 野叟曝言 23407 第一百三十五回 　　七年病退三年艾　一世盲開萬世明
136 野叟曝言 23408 第一百三十六回 　　舌戰中朝除二氏　風聞西域動諸番
137 野叟曝言 23409 第一百三十七回 　　古佛今佛兩窟俱空　君囿臣囿四靈威集
138 野叟曝言 23410 第一百三十八回 　　九子奪魁會元復歸門婿　百丁介壽男女尚軼外孫
139 野叟曝言 23411 第一百三十九回 　　四靈護賢母榮歸　百詩頌聖君盛治
140 野叟曝言 23412 第一百四十回 　　哭覃吉素臣發病　看餘詩末子封侯
141 野叟曝言 23413 第一百四十一回 　　素父思親成疾教子孫絕欲三年　聖君盡孝垂危聞冰淵忽驅二豎
142 野叟曝言 23414 第一百四十二回 　　馬為月老姪得嬌妻　虎作冰人叔收美妾
143 野叟曝言 23415 第一百四十三回 　　百世推恩侯伯子男遞衍　乾秋異數君臣後妾同筵
144 野叟曝言 23416 第一百四十四回 　　二老來歸君臣同樂　雙翎未展母后俱驚
145 野叟曝言 23417 第一百四十五回 　　毗羅袈裟見者驚為怪物　荷包珠帕拾即獻入官司
146 野叟曝言 23418 第一百四十六回 　　戲文一百出將生平事逐件重題　男女五十雙把座中人當場現扮
147 野叟曝言 23419 第一百四十七回 　　五百道賜符三男同降　七十國獻壽六寶齊歸
148 野叟曝言 23420 第一百四十八回 　　番公主入門生子　文翰林跨海尋妻
149 野叟曝言 23421 第一百四十九回 　　九萬里外塑生詞　百壽堂前開總宴
150 野叟曝言 23422 第一百五十回 　　三居次愛戲拜翁姑　兩孿生劈面驚新婦
151 野叟曝言 23423 第一百五十一回 　　兩間房素臣辟鬼　百壽令文甲驚人
152 野叟曝言 23424 第一百五十二回 　　毀先賢豪客揮拳　開後局小兒言志
153 野叟曝言 23425 第一百五十三回 　　處士妹配合處士孫　神女風圓成神女夢
154 野叟曝言 23426 第一百五十四回 　　泄真機六世同夢　絕邪念萬載常清
