054 三寶太監西洋記 10791 第五十四回 　　王明砍番陣總兵　天師戰金毛道長
055 三寶太監西洋記 10792 第五十五回 　　金碧峰勸化道長　金碧峰遍查天宮
056 三寶太監西洋記 10793 第五十六回 　　護法神奶兒揚威　和合二仙童發聖
057 三寶太監西洋記 10794 第五十七回 　　金碧峰轉南京城　張三峰見萬歲爺
058 三寶太監西洋記 10795 第五十八回 　　國師收金毛道長　國師度碧水神魚
059 三寶太監西洋記 10796 第五十九回 　　國師收服撒發國　元帥兵執錫蘭王
060 三寶太監西洋記 10797 第六十回 　　兵過溜山大葛蘭　兵過柯枝小葛蘭
061 三寶太監西洋記 10798 第六十一回 　　王明致書古俚王　古俚王賓服元帥
062 三寶太監西洋記 10799 第六十二回 　　大明兵進金眼國　陳堂三戰西海蛟
063 三寶太監西洋記 10800 第六十三回 　　金天雷殺西海蛟　三太子燒大明船
064 三寶太監西洋記 10801 第六十四回 　　王良鞭打三太子　水寨生擒哈秘赤
065 三寶太監西洋記 10802 第六十五回 　　三太子帶箭回營　唐狀元單槍出陣
066 三寶太監西洋記 10803 第六十六回 　　三太子舉刀自刎　哈里虎溺水身亡
067 三寶太監西洋記 10804 第六十七回 　　金眼王敦請三仙　三大仙各顯仙術
068 三寶太監西洋記 10805 第六十八回 　　元帥收服金眼國　元帥兵阻紅羅山
069 三寶太監西洋記 10806 第六十九回 　　黃鳳仙扮觀世音　黃鳳仙戰三大仙
070 三寶太監西洋記 10807 第七十回 　　鳳仙斬金角大仙　國師點大仙本相
071 三寶太監西洋記 10808 第七十一回 　　國師收銀角大仙　天師擒鹿皮大仙
072 三寶太監西洋記 10809 第七十二回 　　吸葛剌富而有禮　木骨都險而難服
073 三寶太監西洋記 10810 第七十三回 　　佗羅尊者先試法　碧峰長老慢逞能
074 三寶太監西洋記 10811 第七十四回 　　佗羅尊者求師父　鐃鈸長老下雲山
075 三寶太監西洋記 10812 第七十五回 　　番禪師飛鈸取頭　唐狀元中箭取和
076 三寶太監西洋記 10813 第七十六回 　　關元帥禪師敘舊　金碧峰禪師鬥變
077 三寶太監西洋記 10814 第七十七回 　　王尚書計收禪師　木骨國拜進降表
078 三寶太監西洋記 10815 第七十八回 　　寶船經過剌撒國　寶船經過祖法國
079 三寶太監西洋記 10816 第七十九回 　　寶船經過忽魯謨　寶船兵阻銀眼國
080 三寶太監西洋記 10817 第八十回 　　番王寵任百里雁　王爺計擒百里雁
081 三寶太監西洋記 10818 第八十一回 　　百夫人為夫報仇　王克新計取鈴索
082 三寶太監西洋記 10819 第八十二回 　　百夫人墮地身死　引仙師念舊來援
083 三寶太監西洋記 10820 第八十三回 　　王克新兩番鐵笛　地裡鬼八拜王明
084 三寶太監西洋記 10821 第八十四回 　　引蟾仙師露本相　阿丹小國抗天兵
085 三寶太監西洋記 10822 第八十五回 　　黃鳳仙賣弄仙術　阿丹國貢獻方物
086 三寶太監西洋記 10823 第八十六回 　　天方國極樂天堂　禮拜寺偏多古蹟
087 三寶太監西洋記 10824 第八十七回 　　寶船撞進酆都國　王明遇著前生妻
088 三寶太監西洋記 10825 第八十八回 　　崔判官引導王明　王克新遍遊地府
089 三寶太監西洋記 10826 第八十九回 　　一班鬼訴冤取命　崔判官秉筆無私
090 三寶太監西洋記 10827 第九十回 　　靈曜府五鬼鬧判　靈曜府五官鬧判
091 三寶太監西洋記 10828 第九十一回 　　閻羅王寄書國師　閻羅王相贈五將
092 三寶太監西洋記 10829 第九十二回 　　國師勘透閻羅書　國師超度魍魎鬼
093 三寶太監西洋記 10830 第九十三回 　　寶賚船離酆都國　太白星進夜明珠
094 三寶太監西洋記 10831 第九十四回 　　碧水魚救劉谷賢　鳳凰蛋放撒發國
095 三寶太監西洋記 10832 第九十五回 　　五鼠精光前迎接　五個字度化五精
096 三寶太監西洋記 10833 第九十六回 　　摩伽魚王大張口　天師飛劍斬摩伽
097 三寶太監西洋記 10834 第九十七回 　　李海訴說夜明珠　白鱔王要求祭祀
098 三寶太監西洋記 10835 第九十八回 　　水族各神聖來參　宗家三兄弟發聖
099 三寶太監西洋記 10836 第九十九回 　　元帥鞠躬復朝命　元帥獻上各寶貝
100 三寶太監西洋記 10837 第一○○回 　　奉聖旨頒賞各官　奉聖旨建立祠廟
