109 繡雲閣 10561 第一○九回 　　任采薪夫婦受苦　思死路鬼物頻臨
110 繡雲閣 10562 第一一○回 　　逃廬外虎狼相逼　寄賢母殘毒交加
111 繡雲閣 10563 第一一一回 　　紫陽山持斧遇道　李嫗宅悟道談元
112 繡雲閣 10564 第一一二回 　　收鬼物老嫗試道　從赤鯉妖部生嫌
113 繡雲閣 10565 第一一三回 　　毒龍洞來鯉變色　慈航殿虎僕為殃
114 繡雲閣 10566 第一一四回 　　蝦精倏爾來解說　蚌母又復遇途間
115 繡雲閣 10567 第一一五回 　　通天嶺夫婦同處　繡雲閣仙凡分看
116 繡雲閣 10568 第一一六回 　　見仙子甚厭凡體　遇郝相又動凡心
117 繡雲閣 10569 第一一七回 　　勸歸都仍享爵秩　游幻境尚自癡迷
118 繡雲閣 10570 第一一八回 　　貶塞外遭逢不偶　遇老道拯救歸亭
119 繡雲閣 10571 第一一九回 　　走萬星途遇赤鯉　思七竅殺動蝦精
120 繡雲閣 10572 第一二○回 　　靈宅子暗施詭譎　紫霞仙預識機關
121 繡雲閣 10573 第一二一回 　　集群妖大展法術　祭寶劍又復前仇
122 繡雲閣 10574 第一二二回 　　老猿公敗遇仙子　穿雲劍收入長虹
123 繡雲閣 10575 第一二三回 　　長虹山誅及四惡　道祖宮遣發四星
124 繡雲閣 10576 第一二四回 　　收靈宅道祖發落　投仙師妖魄阻行
125 繡雲閣 10577 第一二五回 　　傳大道功分深淺　游幻境心見高低
126 繡雲閣 10578 第一二六回 　　試眾子頻施妙道　獨二翠得遇心魔
127 繡雲閣 10579 第一二七回 　　幻境中許多變化　幽室內最見心性
128 繡雲閣 10580 第一二八回 　　墜孽海悲道空修　望兒孫是心甚切
129 繡雲閣 10581 第一二九回 　　仁厚村重逢蔡女　雲溪鎮又見故巢
130 繡雲閣 10582 第一三○回 　　二光並試分道法　雙蜂同往悟前因
131 繡雲閣 10583 第一三一回 　　空靈洞並陷鳳春　金丹河同沉老道
132 繡雲閣 10584 第一三二回 　　到石穴前非痛悔　游玉女故轍仍循
133 繡雲閣 10585 第一三三回 　　遇熊鹿邀去野馬　呼達訣迷歸狄山
134 繡雲閣 10586 第一三四回 　　玉鏡中難迷八道　晶光內又試三鯨
135 繡雲閣 10587 第一三五回 　　人道中分班統試　妖部內共燭同心
136 繡雲閣 10588 第一三六回 　　蓬廬中倏生彪虎　仙府內仰若奇珍
137 繡雲閣 10589 第一三七回 　　獨仙根能知仙道　教弟子重試徒心
138 繡雲閣 10590 第一三八回 　　遣彩鸞空中捧詔　登八境座裡談元
139 繡雲閣 10591 第一三九回 　　奏上皇群真拜舞　祈師尊同入上乘
140 繡雲閣 10592 第一四○回 　　換骨池妖部入浴　脫物殼人體長存
141 繡雲閣 10593 第一四一回 　　朝上皇通明拜舞　封仙品人物同沾
142 繡雲閣 10594 第一四二回 　　送繡雲王母懿詔　接玉旨上帝仁恩
143 繡雲閣 10595 第一四三回 　　拜聖人誇及仙子　排御駕送歸繡雲
