072 歷史通俗演義-前漢 4529 第七十二回 　　通西域復滅南夷　進神馬兼迎寶鼎
073 歷史通俗演義-前漢 4530 第七十三回 　　信方士連番被惑　行封禪妄想求仙
074 歷史通俗演義-前漢 4531 第七十四回 　　東征西討絕域窮兵　先敗後成貳師得馬
075 歷史通俗演義-前漢 4532 第七十五回 　　入虜庭蘇武抗節　出朔漠李陵敗降
076 歷史通俗演義-前漢 4533 第七十六回 　　巫盅獄丞相滅門　泉鳩里儲君斃命
077 歷史通俗演義-前漢 4534 第七十七回 　　悔前愆痛下輪台詔　授顧命囑遵負扆圖
078 歷史通俗演義-前漢 4535 第七十八回 　　六齡幼女竟主中宮　廿載使臣重還故國
079 歷史通俗演義-前漢 4536 第七十九回 　　識詐書終懲逆黨　效刺客得斃番王
080 歷史通俗演義-前漢 4537 第八十回 　　迎外藩新主入都　廢昏君太后登殿
081 歷史通俗演義-前漢 4538 第八十一回 　　謁祖廟驂乘生嫌　囑女醫入宮進毒
082 歷史通俗演義-前漢 4539 第八十二回 　　孝婦伸冤於公造福　淫嫗失德霍氏橫行
083 歷史通俗演義-前漢 4540 第八十三回 　　泄逆謀殺盡後族　矯君命殲厥渠魁
084 歷史通俗演義-前漢 4541 第八十四回 　　詢宮婢才識酬恩　擢循吏迭聞報績
085 歷史通俗演義-前漢 4542 第八十五回 　　兩疏見機辭官歸里　三書迭奏罷兵屯田
086 歷史通俗演義-前漢 4543 第八十六回 　　逞淫謀番婦構釁　識子禍嚴母知幾
087 歷史通俗演義-前漢 4544 第八十七回 　　杰閣圖形名標麟史　錦車出使功讓蛾眉
088 歷史通俗演義-前漢 4545 第八十八回 　　寵閹豎屈死蕭望之　惑讒言再貶周少傅
089 歷史通俗演義-前漢 4546 第八十九回 　　馮婕妤挺身當猛獸　朱子元仗義救良朋
090 歷史通俗演義-前漢 4547 第九十回 　　斬郅支陳湯立奇功　嫁匈奴王嬙留遺恨
091 歷史通俗演義-前漢 4548 第九十一回 　　賴直諫太子得承基　寵正宮詞臣同抗議
092 歷史通俗演義-前漢 4549 第九十二回 　　識番情指日解圍　違婦言上書惹禍
093 歷史通俗演義-前漢 4550 第九十三回 　　懲諸舅推恩赦罪　嬖二美奪嫡宣淫
094 歷史通俗演義-前漢 4551 第九十四回 　　智班伯借圖進諫　猛朱雲折檻留旌
095 歷史通俗演義-前漢 4552 第九十五回 　　泄機謀鴆死許后　爭座位怒斥中官
096 歷史通俗演義-前漢 4553 第九十六回 　　忤重闈師丹遭貶　害故妃史立售奸
097 歷史通俗演義-前漢 4554 第九十七回 　　莽朱博附勢反亡身　美董賢闔家同邀寵
098 歷史通俗演義-前漢 4555 第九十八回 　　良相遭囚嘔血致斃　倖臣失勢與婦並戕
099 歷史通俗演義-前漢 4556 第九十九回 　　獻白雉罔上居功　驚赤血殺兒構獄
100 歷史通俗演義-前漢 4557 第一○○回 　　竊國權王莽弒帝　投御璽元后覆宗
